;;;;;;;;;;;;;;;;;;;;;;
Día;Línea de servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;Total general (Número de pasajeros)
5/01/2021;LÍNEA 1;1.955;4.658;5.814;5.073;3.682;3.178;2.702;2.632;2.750;2.776;3.323;3.602;4.759;6.296;4.968;2.990;1.955;1.617;789;26;65.545
5/01/2021;LÍNEA 2;86;361;497;440;345;395;385;511;426;472;592;661;951;1.059;925;559;309;208;90;3;9.275
5/01/2021;LÍNEA T-A;754;1.975;2.411;1.922;1.397;1.237;1.165;1.275;1.341;1.361;1.520;1.880;2.344;3.130;2.932;1.878;1.195;971;573;22;31.283
5/01/2021;LÍNEA M;206;492;497;334;221;185;211;198;198;188;216;329;407;622;734;483;271;174;137;21;6.124
5/01/2021;LÍNEA H;132;304;204;128;103;72;74;92;74;52;44;38;35;42;18;15;21;6;4;1;1.459
5/01/2021;LÍNEA O;128;451;660;551;325;265;239;220;270;210;285;297;506;684;495;319;192;272;88;2;6.459
6/01/2021;LÍNEA A;10.986;26.514;33.518;26.086;17.349;14.961;13.972;13.622;15.185;15.216;19.410;20.696;33.214;37.938;36.360;20.311;13.372;9.669;2.944;10;381.333
6/01/2021;LÍNEA B;1.954;4.390;4.872;3.952;2.704;2.418;2.223;2.162;2.158;2.209;2.482;2.859;4.007;4.892;4.286;2.567;1.729;1.215;273;;53.352
6/01/2021;LÍNEA K;1.407;2.028;1.792;1.350;1.029;898;769;784;815;674;614;686;773;338;426;304;411;169;23;;15.290
6/01/2021;LÍNEA J;776;1.383;1.257;1.003;796;577;509;425;485;413;404;382;485;223;171;199;160;65;11;;9.724
6/01/2021;LÍNEA L;;;;;9;145;160;218;170;165;168;180;270;77;78;;;;;;1.640
6/01/2021;LÍNEA 1;1.937;4.745;5.792;5.043;3.447;2.963;2.736;2.565;2.617;2.684;3.094;3.417;4.900;5.566;5.399;3.211;2.220;1.148;462;8;63.954
6/01/2021;LÍNEA 2;72;369;476;434;335;388;366;435;414;416;521;620;942;628;980;588;307;245;44;;8.580
6/01/2021;LÍNEA T-A;720;1.995;2.487;1.999;1.453;1.207;1.213;1.151;1.313;1.276;1.485;1.675;2.327;2.580;3.035;2.198;1.360;931;438;5;30.848
6/01/2021;LÍNEA M;206;500;513;335;199;185;192;191;203;198;251;282;425;308;470;509;270;190;124;7;5.558
6/01/2021;LÍNEA H;140;293;199;146;92;76;77;77;73;42;49;47;46;3;23;25;15;3;;;1.426
6/01/2021;LÍNEA O;103;445;644;525;318;265;224;238;224;202;261;274;496;674;433;310;268;215;38;;6.157
7/01/2021;LÍNEA A;10.556;26.822;33.968;26.136;17.533;14.860;14.098;13.604;15.126;15.390;19.767;21.454;33.546;43.222;34.098;18.904;13.312;10.045;3.396;12;385.849
7/01/2021;LÍNEA B;1.921;4.506;5.145;4.088;2.769;2.431;2.128;2.098;2.301;2.244;2.504;2.777;4.002;5.296;4.191;2.321;1.735;1.340;341;2;54.140
7/01/2021;LÍNEA K;1.374;2.088;1.778;1.405;1.038;853;773;729;880;673;644;654;737;779;471;308;404;192;29;;15.809
7/01/2021;LÍNEA J;708;758;1.372;1.059;737;520;465;453;518;437;330;389;438;449;359;264;200;89;20;;9.565
7/01/2021;LÍNEA L;;;;;6;177;173;249;164;179;183;161;247;240;;;;;;;1.779
7/01/2021;LÍNEA 1;1.894;4.849;5.794;5.121;3.508;3.045;2.689;2.488;2.645;2.692;3.295;3.617;4.820;5.809;5.346;3.093;2.283;1.577;541;14;65.120
7/01/2021;LÍNEA 2;89;379;432;389;329;378;378;395;413;438;527;693;875;944;901;561;318;209;81;2;8.731
7/01/2021;LÍNEA T-A;714;1.997;2.500;1.997;1.445;1.186;1.183;1.120;1.279;1.265;1.449;1.708;2.414;2.957;3.062;1.861;1.291;1.014;494;17;30.953
7/01/2021;LÍNEA M;185;501;528;362;214;186;176;198;203;204;233;276;413;616;737;451;246;223;152;12;6.116
7/01/2021;LÍNEA H;124;284;211;152;107;57;51;69;76;47;48;42;47;40;21;19;24;11;2;1;1.433
7/01/2021;LÍNEA O;99;457;661;521;346;268;224;208;220;243;240;276;500;667;507;315;270;242;57;2;6.323
8/01/2021;LÍNEA A;10.943;27.559;33.523;26.316;18.381;15.188;13.703;13.724;15.454;16.001;21.736;24.529;39.403;53.178;36.633;12.027;5.585;5.359;457;;389.699
8/01/2021;LÍNEA B;1.983;4.448;5.105;4.086;2.845;2.378;2.240;2.180;2.301;2.296;2.663;3.040;4.496;6.265;4.945;1.713;646;358;59;;54.047
8/01/2021;LÍNEA K;1.470;2.044;1.855;1.386;1.086;881;765;795;860;667;614;636;728;754;670;273;233;64;8;;15.789
8/01/2021;LÍNEA J;711;1.378;1.334;1.118;734;549;443;456;478;439;378;403;484;510;442;201;87;21;5;;10.171
8/01/2021;LÍNEA L;;;;;3;166;143;199;130;88;144;126;162;130;1;;;;;;1.292
8/01/2021;LÍNEA 1;1.925;4.915;5.939;5.248;3.716;2.982;2.678;2.484;2.714;2.665;3.457;3.849;5.336;7.385;6.001;2.114;840;550;160;;64.958
8/01/2021;LÍNEA 2;73;397;481;448;364;379;415;448;405;401;554;663;925;1.263;944;218;75;66;6;;8.525
8/01/2021;LÍNEA T-A;788;2.038;2.497;2.072;1.487;1.268;1.152;1.152;1.365;1.313;1.606;1.765;2.591;2.766;3.779;1.444;613;395;174;;30.265
8/01/2021;LÍNEA M;202;523;511;316;233;196;197;177;177;194;270;274;502;428;887;429;128;68;65;;5.777
8/01/2021;LÍNEA H;144;300;201;144;108;72;77;68;66;49;48;63;46;49;35;19;15;;1;;1.505
8/01/2021;LÍNEA O;118;440;685;544;404;298;254;220;209;227;242;286;521;846;582;196;83;83;9;;6.247
9/01/2021;LÍNEA A;7.117;16.072;15.021;8.828;4.545;3.399;3.524;4.389;10.544;11.904;12.502;8.291;8.177;7.671;6.234;3.817;3.151;3.616;241;;139.043
9/01/2021;LÍNEA B;1.138;2.502;2.129;1.364;666;483;468;482;1.071;1.201;1.034;959;1.042;897;744;435;338;283;32;;17.268
9/01/2021;LÍNEA K;917;1.240;844;471;284;225;185;244;313;167;146;225;323;206;157;146;143;30;1;;6.267
9/01/2021;LÍNEA J;505;788;525;286;187;135;142;132;247;129;96;125;153;118;128;113;57;17;;;3.883
9/01/2021;LÍNEA 1;1.301;2.832;2.594;1.768;861;749;695;739;1.597;1.728;1.826;1.339;1.384;1.318;1.125;703;445;415;72;;23.491
9/01/2021;LÍNEA 2;49;216;215;159;133;94;109;119;154;187;202;134;123;158;123;57;37;48;3;;2.320
9/01/2021;LÍNEA T-A;529;1.210;1.143;758;436;310;311;365;767;994;945;751;738;713;655;431;351;330;76;;11.813
9/01/2021;LÍNEA M;145;269;220;136;68;58;61;66;109;203;215;214;169;164;126;122;67;73;27;;2.512
9/01/2021;LÍNEA H;91;157;79;46;19;22;20;31;34;10;16;22;33;12;8;14;6;4;1;;625
9/01/2021;LÍNEA O;66;289;333;211;120;78;79;96;150;158;136;141;161;166;149;79;68;49;5;;2.534
10/01/2021;LÍNEA A;1.825;6.002;5.745;3.221;1.886;1.670;1.639;1.690;2.184;2.787;3.835;3.299;4.054;4.321;4.040;2.812;1.983;1.628;58;;54.679
10/01/2021;LÍNEA B;309;860;792;446;272;230;225;218;262;287;365;421;608;534;542;305;259;171;8;;7.114
10/01/2021;LÍNEA K;;;;;82;177;146;148;156;128;122;174;262;200;130;123;107;30;;;1.985
10/01/2021;LÍNEA J;;;;;10;124;113;95;91;73;71;104;167;120;119;81;42;26;;;1.236
10/01/2021;LÍNEA 1;293;984;960;630;407;337;340;362;419;523;659;611;691;748;728;465;310;263;33;;9.763
10/01/2021;LÍNEA 2;;79;89;47;36;26;22;23;30;46;79;40;63;81;80;36;30;18;4;;829
10/01/2021;LÍNEA T-A;108;416;415;245;179;169;166;196;239;275;350;272;447;403;441;350;191;210;30;;5.102
10/01/2021;LÍNEA M;;;;;3;38;36;30;46;43;59;79;93;64;83;71;44;30;18;;737
10/01/2021;LÍNEA H;;;;;0;24;8;12;12;4;15;21;24;17;10;12;13;2;1;;175
10/01/2021;LÍNEA O;15;164;144;74;59;48;42;45;28;51;73;63;91;107;124;66;47;40;3;;1.284
11/01/2021;LÍNEA A;1.983;6.662;6.014;3.567;2.113;1.769;1.821;1.812;2.536;3.271;4.789;4.019;4.978;5.158;5.084;3.704;3.062;2.028;58;;64.428
11/01/2021;LÍNEA B;322;1.112;778;478;308;291;273;263;289;362;511;548;646;697;576;430;413;210;13;;8.520
11/01/2021;LÍNEA K;;;;;92;187;181;172;172;167;148;175;325;210;155;189;193;37;1;;2.404
11/01/2021;LÍNEA J;;;;;1;126;106;88;99;70;89;113;200;132;124;105;99;21;1;;1.374
11/01/2021;LÍNEA 1;341;1.328;1.061;627;419;370;358;439;497;573;908;705;846;853;851;625;469;311;36;;11.617
11/01/2021;LÍNEA 2;;94;98;62;36;29;25;40;26;62;76;60;70;87;87;58;27;20;1;;958
11/01/2021;LÍNEA T-A;116;433;419;256;164;177;181;181;210;272;381;376;468;450;470;393;315;225;33;;5.520
11/01/2021;LÍNEA M;;;;;2;31;45;39;42;41;69;103;114;90;73;87;62;52;15;;865
11/01/2021;LÍNEA H;;;;;2;15;16;12;14;7;13;26;23;17;22;25;18;1;;;211
11/01/2021;LÍNEA O;16;147;145;88;68;51;67;56;33;48;80;84;108;132;129;74;59;29;7;;1.421
12/01/2021;LÍNEA A;11.828;30.173;37.159;29.524;20.417;17.715;16.280;15.805;17.448;17.112;22.270;23.026;35.514;48.674;37.718;21.021;12.948;10.331;4.750;10;429.723
12/01/2021;LÍNEA B;2.210;4.896;5.454;4.575;3.151;2.597;2.514;2.397;2.454;2.376;2.704;3.166;4.037;5.984;4.575;2.578;1.782;1.370;562;9;59.391
12/01/2021;LÍNEA K;1.630;2.174;1.941;1.542;1.208;901;845;839;937;729;595;589;656;619;502;403;402;221;47;;16.780
12/01/2021;LÍNEA J;940;1.527;1.452;1.135;830;645;546;567;555;488;389;408;515;423;380;294;236;104;27;1;11.462
12/01/2021;LÍNEA 1;2.053;5.248;6.372;5.544;3.935;3.511;3.036;2.890;3.031;2.853;3.596;3.793;5.158;6.698;5.557;3.296;2.020;1.697;871;26;71.185
12/01/2021;LÍNEA 2;75;394;520;489;366;391;441;509;503;474;570;671;921;1.110;1.043;644;327;236;92;;9.776
12/01/2021;LÍNEA T-A;860;2.190;2.639;2.231;1.589;1.473;1.453;1.307;1.511;1.371;1.698;1.898;2.352;3.316;3.256;2.068;1.293;1.069;624;28;34.226
12/01/2021;LÍNEA M;208;561;545;388;242;198;211;181;224;166;264;271;424;651;779;487;296;194;145;21;6.456
12/01/2021;LÍNEA H;150;345;214;171;109;85;61;70;60;41;53;52;37;60;29;35;26;12;6;;1.616
12/01/2021;LÍNEA O;112;489;697;580;324;282;273;276;256;230;283;323;501;718;528;295;236;279;91;4;6.777
13/01/2021;LÍNEA A;11.694;29.363;37.127;29.359;19.641;16.514;14.985;14.651;16.505;16.157;21.233;22.536;35.517;47.799;37.925;21.380;13.679;10.796;4.934;17;421.812
13/01/2021;LÍNEA B;2.166;4.877;5.308;4.530;3.021;2.673;2.311;2.254;2.394;2.262;2.621;2.962;4.105;5.858;4.647;2.575;1.749;1.373;710;4;58.400
13/01/2021;LÍNEA K;1.550;2.117;2.000;962;1.202;865;852;848;914;689;670;636;682;705;476;363;437;179;56;;16.203
13/01/2021;LÍNEA J;889;1.524;1.441;1.140;791;642;549;475;481;431;361;310;451;520;378;248;200;91;27;1;10.950
13/01/2021;LÍNEA L;;;;;2;89;120;114;137;100;104;127;121;237;;;;;;;1.151
13/01/2021;LÍNEA 1;2.092;5.189;6.220;5.572;3.940;3.259;2.895;2.821;2.874;2.741;3.482;3.859;5.126;6.594;5.525;3.325;2.161;1.744;902;24;70.345
13/01/2021;LÍNEA 2;79;382;505;463;351;395;385;508;486;463;552;715;942;1.068;982;641;360;205;85;6;9.573
13/01/2021;LÍNEA T-A;818;2.249;2.730;2.211;1.548;1.355;1.300;1.275;1.303;1.366;1.550;1.774;2.471;3.266;3.331;1.971;903;747;640;10;32.818
13/01/2021;LÍNEA M;204;579;548;404;217;200;208;197;217;187;218;291;401;660;802;530;223;155;169;10;6.420
