Día;Línea de Servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;Total general (Número de pasajeros)
4/01/2022;LÍNEA L;;;;;10;398;436;762;607;510;575;568;640;503;2;;;;;;5.011
4/01/2022;LÍNEA M;207;553;581;425;244;239;190;248;248;255;281;403;470;693;830;520;362;231;189;27;7.196
4/01/2022;LÍNEA O;154;578;889;775;479;439;368;399;332;346;444;426;698;907;709;441;314;344;139;7;9.188
4/01/2022;LÍNEA P;689;1.380;1.528;1.128;718;587;516;518;614;476;532;479;532;500;478;358;329;139;77;;11.578
4/01/2022;LÍNEA T-A;831;2.090;2.959;2.417;1.739;1.555;1.483;1.596;1.664;1.676;1.991;2.306;2.748;3.542;3.402;2.101;1.620;1.119;806;29;37.674
5/01/2022;LÍNEA 1;2.044;5.084;7.098;6.481;4.268;3.857;3.477;3.395;3.497;3.444;4.194;4.596;6.040;7.694;5.814;3.478;2.499;2.141;1.178;56;80.335
5/01/2022;LÍNEA 2;112;509;683;683;551;694;660;797;744;776;888;1.031;1.357;1.629;1.242;902;521;338;140;6;14.263
5/01/2022;LÍNEA A;11.505;27.720;37.820;30.948;20.756;19.661;19.276;19.356;20.768;20.321;26.270;27.502;41.354;55.032;38.986;23.337;16.007;13.164;7.407;57;477.247
5/01/2022;LÍNEA B;2.131;4.603;5.775;5.030;3.537;3.342;3.343;3.265;3.598;3.127;3.893;4.115;5.231;7.098;5.301;3.082;2.108;1.500;839;5;70.923
5/01/2022;LÍNEA H;121;270;298;207;128;89;95;88;82;66;62;61;95;66;32;31;27;14;;;1.832
5/01/2022;LÍNEA J;832;1.663;1.689;1.517;986;699;710;682;693;541;560;516;531;575;447;308;271;139;26;;13.385
5/01/2022;LÍNEA K;1.739;2.693;2.442;1.966;1.429;1.208;1.055;1.097;1.258;1.100;1.001;1.188;1.208;1.345;758;552;567;269;81;;22.956
5/01/2022;LÍNEA L;;;;;19;305;397;656;570;553;550;629;512;453;1;;;;;;4.645
5/01/2022;LÍNEA M;211;541;557;431;247;254;213;246;278;253;265;419;472;732;830;558;334;217;227;34;7.319
5/01/2022;LÍNEA O;146;582;911;842;499;402;323;350;384;319;410;535;685;932;706;486;333;327;165;6;9.343
