Día;Línea de Servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;Total general (Número de pasajeros)
24/03/2022;LÍNEA T-A;1.279;4.062;4.822;4.601;2.797;2.403;2.166;2.394;2.932;2.656;1.570;2.984;4.064;5.033;4.637;3.089;2.368;2.011;1.121;45;57.034
25/03/2022;LÍNEA 1;2.876;8.688;11.055;10.194;6.336;5.286;4.486;5.086;5.414;5.287;5.698;6.117;8.743;10.780;8.045;5.155;3.362;2.871;1.623;59;117.161
25/03/2022;LÍNEA 2;164;770;969;1.028;867;847;927;966;1.233;994;1.103;1.254;1.839;2.057;1.827;1.272;808;629;292;2;19.848
25/03/2022;LÍNEA A;15.593;45.761;58.054;49.019;29.762;26.053;22.977;24.239;28.543;27.210;33.517;36.072;58.406;72.934;54.004;32.989;20.961;17.854;10.510;74;664.532
25/03/2022;LÍNEA B;2.904;8.005;9.246;7.930;5.168;4.288;4.012;4.314;4.778;4.425;4.611;5.379;7.723;9.754;7.698;4.523;3.248;2.675;1.374;17;102.072
25/03/2022;LÍNEA H;201;492;436;240;150;77;105;101;127;78;63;62;78;58;50;23;33;9;6;;2.389
25/03/2022;LÍNEA J;1.382;2.244;2.332;2.153;1.218;936;726;777;841;685;574;581;687;635;473;350;261;125;44;1;17.025
25/03/2022;LÍNEA K;2.553;3.029;2.918;2.428;1.587;1.259;1.130;1.120;1.452;1.155;895;586;1.174;1.019;810;551;613;296;106;3;24.684
25/03/2022;LÍNEA L;;;;;7;111;89;112;124;180;129;103;103;147;;;;;;;1.105
25/03/2022;LÍNEA M;332;851;879;578;463;296;248;310;417;296;331;394;682;946;931;763;489;327;250;58;9.841
25/03/2022;LÍNEA O;195;1.435;1.490;1.886;1.005;1.229;763;1.015;965;963;864;961;1.428;1.594;1.077;941;751;837;291;28;19.718
25/03/2022;LÍNEA P;1.135;2.513;2.671;1.786;955;742;603;953;1.173;755;572;440;939;979;720;487;507;462;156;2;18.550
25/03/2022;LÍNEA T-A;1.243;4.058;4.679;4.350;2.870;2.400;2.054;2.357;2.848;2.594;2.589;2.874;4.018;4.849;4.680;3.343;2.323;1.964;1.331;65;57.489
26/03/2022;LÍNEA 1;2.210;5.468;7.074;7.304;5.121;4.518;4.093;4.598;6.213;6.570;6.473;5.690;5.065;4.562;4.616;3.831;2.813;2.385;1.486;55;90.145
26/03/2022;LÍNEA 2;139;545;605;742;627;670;774;918;1.303;1.342;1.120;1.077;1.145;1.086;1.098;775;576;409;202;8;15.161
26/03/2022;LÍNEA A;12.105;29.529;36.487;33.953;24.070;21.535;21.253;24.337;39.129;42.046;44.477;34.829;33.054;31.016;28.969;23.119;16.085;14.641;8.685;62;519.381
26/03/2022;LÍNEA B;2.393;5.050;5.653;5.878;4.058;3.876;3.637;4.550;6.261;6.349;5.862;5.152;5.285;4.886;4.383;3.367;2.571;1.706;1.199;21;82.137
26/03/2022;LÍNEA H;162;346;337;217;144;104;104;99;105;86;68;59;53;56;64;46;46;43;12;;2.151
26/03/2022;LÍNEA J;1.044;1.907;1.903;1.676;1.175;868;753;833;908;743;604;1;1;2;;;;88;67;2;12.575
26/03/2022;LÍNEA K;2.069;2.850;2.646;2.174;1.545;1.189;1.224;1.220;1.404;1.184;925;1.018;1.178;1.101;849;730;649;507;226;3;24.691
26/03/2022;LÍNEA L;;;;;10;217;236;216;249;240;218;311;261;202;2;;;;;;2.162
26/03/2022;LÍNEA M;267;564;633;556;316;303;251;310;377;594;464;464;632;523;540;502;380;292;261;67;8.296
26/03/2022;LÍNEA O;162;733;921;1.203;678;753;580;773;959;942;806;568;554;743;525;484;374;368;200;25;12.351
26/03/2022;LÍNEA P;831;1.541;1.782;1.447;876;703;648;666;852;705;673;677;627;521;509;506;427;332;165;;14.488
26/03/2022;LÍNEA T-A;988;2.621;3.249;3.544;2.273;2.066;2.085;2.114;3.228;3.424;3.099;3.009;3.065;2.753;2.712;2.312;1.782;1.593;1.109;95;47.121
27/03/2022;LÍNEA 1;457;1.778;2.018;2.076;2.021;2.317;2.697;2.264;2.416;2.806;2.898;2.801;3.005;2.891;2.989;2.422;2.383;1.674;219;;42.132
27/03/2022;LÍNEA 2;13;190;231;203;204;325;369;272;608;454;434;404;482;449;453;359;267;224;27;;5.968
27/03/2022;LÍNEA A;3.274;10.456;12.131;10.852;10.116;11.409;12.790;12.224;14.243;15.097;17.051;16.137;17.848;18.151;17.589;15.148;14.024;9.695;767;;239.002
27/03/2022;LÍNEA B;908;1.932;1.983;1.890;1.795;2.052;2.360;2.715;2.695;2.865;3.001;2.569;2.775;2.826;2.640;2.135;1.894;1.323;132;;40.490
27/03/2022;LÍNEA H;;;;;7;94;67;67;81;53;61;63;115;71;97;56;33;16;3;;884
27/03/2022;LÍNEA J;;;;;66;748;655;662;529;575;601;613;614;577;575;539;434;138;6;;7.332
27/03/2022;LÍNEA K;;;;;490;965;972;827;909;910;856;1.080;1.143;1.021;926;813;716;308;23;;11.959
27/03/2022;LÍNEA L;;;;;114;220;341;332;333;325;317;225;241;149;;;;;;;2.597
27/03/2022;LÍNEA M;;;;;7;264;222;231;291;326;298;357;358;372;362;369;328;248;111;;4.144
27/03/2022;LÍNEA O;14;304;283;269;310;311;326;302;298;285;396;324;374;457;386;299;348;233;37;;5.556
27/03/2022;LÍNEA P;;;;;;;;;;;;97;529;419;473;370;418;217;4;;2.527
27/03/2022;LÍNEA T-A;144;763;1.025;894;884;1.208;1.312;1.270;1.428;1.527;1.501;1.590;1.744;1.688;1.688;1.524;1.445;1.133;232;;23.000
28/03/2022;LÍNEA 1;2.867;8.832;10.965;10.256;6.195;5.595;4.690;4.970;5.544;5.024;5.521;6.190;8.561;11.219;7.921;4.523;2.948;2.340;1.457;64;115.682
28/03/2022;LÍNEA 2;168;750;970;983;889;910;866;1.087;1.131;991;951;1.412;1.864;2.088;1.621;1.096;839;482;212;10;19.320
28/03/2022;LÍNEA A;15.900;46.619;58.641;49.516;29.723;26.469;23.282;24.970;28.244;26.774;32.139;35.115;57.387;77.963;56.320;29.605;19.180;14.676;7.801;30;660.354
28/03/2022;LÍNEA B;3.088;8.077;9.086;8.218;4.953;4.407;3.833;4.017;4.800;4.140;4.453;4.643;7.579;10.473;7.579;4.223;3.094;4.736;1.989;6;103.394
28/03/2022;LÍNEA H;200;501;401;234;132;123;102;124;89;69;58;88;43;75;38;39;30;11;4;;2.361
28/03/2022;LÍNEA J;1.356;2.491;2.251;2.071;1.234;824;734;770;886;670;544;115;603;611;462;93;;;;;15.715
28/03/2022;LÍNEA K;2.572;3.112;2.847;2.240;1.623;1.298;1.052;1.118;1.418;936;807;824;972;983;650;479;546;229;82;5;23.793
28/03/2022;LÍNEA M;332;823;836;594;372;277;246;283;394;265;303;380;583;836;968;784;462;270;275;30;9.313
28/03/2022;LÍNEA O;213;1.163;1.377;1.657;936;1.031;799;884;935;896;836;969;1.348;1.930;1.236;953;685;817;287;8;18.960
28/03/2022;LÍNEA P;1.113;2.507;2.635;1.820;986;801;628;936;1.101;619;574;394;804;1.200;652;374;502;453;88;1;18.188
28/03/2022;LÍNEA T-A;1.299;3.894;4.360;4.207;2.666;2.237;2.134;2.358;2.863;2.348;2.559;2.891;3.965;4.936;4.704;3.150;2.248;1.817;1.135;33;55.804
29/03/2022;LÍNEA 1;2.786;9.001;11.469;10.695;6.653;5.508;4.475;5.165;5.468;5.285;5.316;5.940;9.245;12.330;8.215;4.273;3.245;2.812;1.298;49;119.228
29/03/2022;LÍNEA 2;135;768;987;1.113;847;911;952;1.213;1.169;973;1.012;1.343;1.762;2.269;1.765;1.128;905;514;197;3;19.966
29/03/2022;LÍNEA A;15.050;47.730;60.743;51.108;30.347;26.724;22.290;22.925;28.120;27.501;31.701;35.368;59.816;80.764;51.026;26.885;19.585;16.269;7.970;45;661.967
29/03/2022;LÍNEA B;2.946;8.239;9.505;8.451;5.240;4.384;3.884;4.131;4.822;4.217;4.321;4.915;8.193;11.333;7.079;3.711;3.272;2.471;1.051;11;102.176
29/03/2022;LÍNEA H;210;496;451;221;81;89;102;95;105;54;26;14;76;57;48;39;29;7;3;;2.203
29/03/2022;LÍNEA J;1.290;2.471;2.218;2.033;1.265;808;643;792;856;651;200;199;536;624;379;222;232;82;35;;15.536
29/03/2022;LÍNEA K;2.495;3.025;2.971;2.328;1.569;1.252;1.080;1.097;1.454;1.139;777;662;1.141;982;553;433;479;236;73;1;23.747
29/03/2022;LÍNEA L;;;;;3;132;67;98;138;136;64;116;135;63;;;;;;;952
29/03/2022;LÍNEA M;292;841;842;617;222;234;256;301;364;276;194;244;582;903;877;851;399;283;219;55;8.852
29/03/2022;LÍNEA O;228;1.490;1.532;1.897;879;1.137;817;984;962;1.150;1.022;1.018;1.030;1.125;838;879;731;768;232;10;18.729
29/03/2022;LÍNEA P;1.020;2.534;2.773;1.786;1.014;786;708;855;1.030;703;84;;97;1.089;452;391;514;271;63;;16.170
29/03/2022;LÍNEA T-A;1.213;4.146;4.625;4.737;1.182;2.128;2.057;2.353;3.060;2.552;2.465;2.857;4.078;5.314;4.597;2.802;2.317;1.773;1.031;48;55.335
30/03/2022;LÍNEA 1;2.873;9.059;11.292;10.598;6.692;5.640;4.590;5.025;5.649;5.580;5.604;5.987;8.576;11.273;8.384;4.921;3.451;2.624;1.413;41;119.272
30/03/2022;LÍNEA 2;139;737;1.021;1.057;899;826;920;999;1.198;1.006;1.003;1.346;1.791;2.055;1.729;1.202;899;538;225;5;19.595
30/03/2022;LÍNEA A;15.122;47.911;59.935;51.330;30.656;26.478;22.811;24.368;28.782;28.516;31.029;36.326;56.238;77.411;56.111;32.507;21.038;16.991;9.023;28;672.611
30/03/2022;LÍNEA B;2.898;8.390;9.325;8.348;5.374;4.550;3.812;4.075;4.962;4.729;4.637;4.974;7.150;9.970;7.875;4.332;3.404;2.757;1.206;7;102.775
30/03/2022;LÍNEA H;205;483;417;238;129;108;107;105;80;33;;46;55;53;40;31;20;8;5;1;2.164
30/03/2022;LÍNEA J;1.420;2.522;2.345;2.052;1.205;878;710;717;830;265;;187;636;612;434;242;236;118;24;;15.433
30/03/2022;LÍNEA K;2.429;3.073;2.993;2.348;1.617;1.299;1.069;1.107;1.371;1.105;4;740;965;1.015;702;469;512;250;73;3;23.144
30/03/2022;LÍNEA L;;;;;6;65;78;128;146;67;;120;84;63;2;;;;;;759
30/03/2022;LÍNEA M;330;852;884;590;391;289;256;270;394;178;64;379;543;843;1.046;734;485;335;276;35;9.174
30/03/2022;LÍNEA O;166;1.153;1.343;1.750;1.006;1.239;708;1.085;979;1.143;841;1.063;793;1.659;1.294;1.007;732;695;264;10;18.930
30/03/2022;LÍNEA P;1.043;2.603;2.782;1.816;1.056;735;590;913;1.116;616;;638;719;983;711;453;487;426;80;;17.767
30/03/2022;LÍNEA T-A;1.220;4.251;4.698;4.572;2.723;2.393;2.074;2.368;3.126;2.634;2.354;2.832;3.833;4.881;4.777;3.284;2.376;1.964;1.216;43;57.619
31/03/2022;LÍNEA 1;2.877;8.978;11.245;7.520;5.429;5.722;4.595;5.137;5.535;5.286;4.675;6.237;8.731;11.454;8.795;5.185;3.842;3.023;1.615;65;115.946
31/03/2022;LÍNEA 2;158;721;1.014;1.243;907;915;908;1.090;1.251;985;870;1.304;1.711;2.161;1.839;1.350;942;510;241;8;20.128
31/03/2022;LÍNEA A;15.467;47.430;59.396;49.801;30.335;27.030;23.201;24.840;29.127;26.949;30.236;36.104;56.743;76.485;56.996;32.861;21.400;17.226;9.000;57;670.684
31/03/2022;LÍNEA B;2.920;8.110;9.177;8.220;5.133;4.483;3.868;4.250;4.938;4.285;4.202;5.114;7.405;10.666;7.922;4.210;3.547;2.600;1.297;16;102.363
31/03/2022;LÍNEA H;195;490;424;243;166;98;105;117;164;76;58;45;69;65;32;20;35;16;3;;2.421
31/03/2022;LÍNEA J;1.437;2.510;2.286;2.056;1.296;824;742;751;816;641;2;318;538;652;442;301;222;100;28;;15.962
31/03/2022;LÍNEA K;2.492;3.073;2.966;2.445;1.686;1.294;1.045;1.170;1.324;1.041;697;739;988;949;691;529;594;293;106;3;24.125
31/03/2022;LÍNEA L;;;;;;86;69;112;91;109;61;70;62;95;;;;;;;755
31/03/2022;LÍNEA M;347;858;877;589;341;286;237;279;392;287;270;327;605;664;1.101;737;492;362;270;42;9.363
31/03/2022;LÍNEA O;219;1.444;1.397;1.751;1.023;1.141;735;920;1.051;1.029;675;1.018;1.398;1.712;1.273;829;671;721;277;8;19.292
31/03/2022;LÍNEA P;1.044;2.579;2.649;1.798;1.027;817;660;880;1.050;700;498;490;815;966;741;407;467;402;96;3;18.089
31/03/2022;LÍNEA T-A;1.222;4.236;4.703;4.572;2.727;2.390;2.094;2.547;3.288;2.456;2.533;2.893;4.028;4.622;4.769;3.265;2.493;1.968;1.184;42;58.032
1/04/2022;LÍNEA 1;2.688;8.335;11.005;10.493;6.825;6.003;4.826;5.232;5.631;5.505;5.930;6.727;8.826;10.821;8.511;5.460;3.744;2.710;1.822;123;121.217
1/04/2022;LÍNEA 2;160;740;952;1.062;891;933;969;1.084;1.157;998;1.200;1.352;1.845;1.977;1.846;1.369;876;577;313;7;20.308
1/04/2022;LÍNEA A;14.558;45.337;56.521;51.204;32.828;27.646;23.865;25.778;29.688;28.899;34.890;39.043;58.382;73.712;55.888;35.130;22.699;18.932;11.941;118;687.059
1/04/2022;LÍNEA B;2.798;7.668;9.386;8.188;5.244;4.529;4.154;4.515;5.072;4.595;5.011;5.791;7.508;10.045;7.775;4.550;3.542;2.719;1.604;19;104.713
1/04/2022;LÍNEA H;186;485;419;250;161;115;132;106;98;76;50;64;78;63;42;39;23;11;10;;2.408
1/04/2022;LÍNEA J;1.301;2.451;2.301;2.179;1.300;971;755;806;884;745;560;571;635;277;632;351;289;165;62;1;17.236
1/04/2022;LÍNEA K;2.391;3.113;2.926;2.444;1.640;1.366;1.202;1.176;1.432;1.107;999;607;1.151;1.150;845;634;599;335;130;2;25.249
1/04/2022;LÍNEA L;;;;;10;86;71;97;114;160;119;3;180;107;;;;;;;947
1/04/2022;LÍNEA M;312;828;868;578;370;298;302;271;406;325;360;389;607;853;967;852;496;394;292;54;9.822
1/04/2022;LÍNEA O;218;1.305;1.477;1.713;940;1.092;805;1.003;961;940;971;1.074;1.232;1.511;1.278;893;617;799;356;24;19.209
1/04/2022;LÍNEA P;941;2.353;2.526;1.894;1.083;871;683;900;1.043;671;621;406;815;927;664;455;589;352;131;3;17.928
1/04/2022;LÍNEA T-A;1.148;4.007;4.573;4.459;2.830;2.536;2.249;2.469;3.050;2.493;2.588;3.151;3.910;4.818;4.796;3.634;2.381;2.001;1.405;75;58.573
2/04/2022;LÍNEA 1;2.182;5.316;6.903;7.383;5.242;4.531;4.305;5.037;6.564;6.931;6.583;5.952;5.556;5.038;4.625;3.733;3.044;2.827;1.648;81;93.481
2/04/2022;LÍNEA 2;108;524;627;713;607;706;850;968;1.343;1.377;1.363;1.197;1.268;1.120;1.149;802;595;458;248;3;16.026
2/04/2022;LÍNEA A;12.007;29.768;35.520;34.538;24.477;22.348;22.219;27.093;42.099;45.069;43.431;38.395;34.209;33.178;30.755;24.468;17.794;16.239;9.598;104;543.309
2/04/2022;LÍNEA B;2.249;5.061;5.529;5.726;4.286;3.893;3.957;4.707;6.572;6.502;6.316;5.733;7.899;5.806;4.673;3.393;2.665;2.238;1.383;18;88.606
2/04/2022;LÍNEA H;151;363;333;212;153;138;101;109;123;119;76;89;90;77;71;55;38;32;22;1;2.353
2/04/2022;LÍNEA J;1.019;1.722;1.895;1.720;1.231;920;861;822;950;826;702;716;739;664;618;556;468;385;139;2;16.955
2/04/2022;LÍNEA K;1.965;2.872;2.657;2.217;1.458;1.305;1.243;1.256;1.565;1.224;1.053;1.151;1.267;1.207;906;705;707;540;272;7;25.577
2/04/2022;LÍNEA L;;;;;;169;190;142;262;243;255;208;230;262;;;;;;;1.961
2/04/2022;LÍNEA M;234;584;646;510;357;313;321;313;471;484;592;638;552;555;519;605;425;375;266;67;8.827
2/04/2022;LÍNEA O;156;669;863;1.130;719;700;541;759;858;907;898;675;704;723;624;524;394;413;231;15;12.503
2/04/2022;LÍNEA P;759;1.590;1.697;1.417;938;711;705;780;881;700;718;699;769;675;510;457;480;350;177;7;15.020
2/04/2022;LÍNEA T-A;934;2.607;3.227;3.504;2.442;2.151;2.260;2.494;3.295;3.430;3.289;3.295;3.058;3.011;2.834;2.447;1.946;1.727;1.243;108;49.302
3/04/2022;LÍNEA 1;474;1.688;2.048;2.182;2.105;2.639;2.940;2.693;2.800;2.984;2.993;2.923;2.971;2.964;3.048;2.603;2.527;1.732;232;;44.546
3/04/2022;LÍNEA 2;11;198;204;227;228;332;369;338;670;535;486;403;433;492;507;381;322;236;25;;6.397
3/04/2022;LÍNEA A;3.340;9.726;12.040;11.006;10.679;11.870;13.521;13.737;15.920;16.356;17.844;17.531;18.024;19.347;19.291;16.245;15.052;10.955;876;;253.360
3/04/2022;LÍNEA B;536;1.660;2.006;1.835;1.859;2.129;2.425;2.612;2.939;3.282;3.130;2.706;2.962;2.914;2.932;2.668;2.014;1.472;150;;42.231
3/04/2022;LÍNEA H;;;;;1;123;132;75;78;38;66;70;72;77;82;56;44;22;;;936
3/04/2022;LÍNEA J;;;;;25;991;802;651;769;53;651;581;646;687;624;561;484;146;3;;7.674
3/04/2022;LÍNEA K;;;;;569;1.113;1.130;916;1.173;1.165;1.036;1.220;1.359;1.197;1.237;1.038;920;420;63;;14.556
3/04/2022;LÍNEA L;;;;;156;265;396;487;224;463;278;348;327;330;;;;;;;3.274
3/04/2022;LÍNEA M;;;;;;304;271;181;268;258;378;416;367;389;426;412;337;323;124;;4.454
3/04/2022;LÍNEA O;27;270;288;302;227;302;371;318;309;348;332;339;402;354;358;355;332;315;38;;5.587
3/04/2022;LÍNEA P;;;;;6;652;578;611;715;642;564;656;583;501;539;486;389;226;8;;7.156
3/04/2022;LÍNEA T-A;135;682;923;927;978;1.276;1.487;516;1.595;1.777;1.668;1.790;1.757;1.809;1.880;1.701;1.609;1.272;280;5;24.067
4/04/2022;LÍNEA 1;2.846;8.864;11.191;10.146;6.503;5.799;4.642;5.218;5.765;5.255;5.562;6.080;8.665;11.586;8.383;4.682;3.361;2.650;1.209;1;118.408
4/04/2022;LÍNEA 2;154;767;972;953;867;924;961;1.082;1.167;989;1.145;1.351;1.738;2.262;1.802;1.158;857;475;153;;19.777
4/04/2022;LÍNEA A;15.886;45.858;58.570;51.164;31.538;27.251;23.910;24.751;29.255;27.619;32.695;35.729;56.702;77.330;56.029;29.282;20.834;15.810;7.789;1;668.003
4/04/2022;LÍNEA B;3.001;8.082;9.313;8.254;5.089;4.362;4.080;4.243;4.943;4.358;4.367;5.026;7.194;10.117;7.660;3.576;3.163;2.209;998;;100.035
4/04/2022;LÍNEA H;202;520;415;241;145;109;83;117;106;98;71;59;58;52;28;15;30;9;5;;2.363
4/04/2022;LÍNEA J;1.373;2.552;2.386;1.987;1.263;967;674;765;936;660;499;308;573;600;423;1;189;113;26;;16.295
4/04/2022;LÍNEA K;2.498;3.163;2.923;2.253;1.609;1.258;1.142;1.186;1.463;978;792;804;935;935;631;229;611;251;67;;23.728
4/04/2022;LÍNEA M;317;826;887;574;360;265;237;267;392;272;340;364;581;784;990;170;676;270;249;;8.821
4/04/2022;LÍNEA O;185;1.197;1.456;1.612;887;1.093;701;882;961;924;802;1.012;1.282;1.459;1.284;814;789;741;280;;18.361
4/04/2022;LÍNEA P;1.101;2.478;2.694;1.814;1.028;815;639;899;1.128;603;600;588;749;1.008;607;95;455;302;69;;17.672
4/04/2022;LÍNEA T-A;1.223;3.872;4.501;4.217;2.630;2.415;2.158;2.205;2.911;2.344;2.521;2.767;4.117;5.133;4.820;3.291;2.316;1.815;988;1;56.245
5/04/2022;LÍNEA 1;2.690;8.778;11.459;10.439;6.850;5.823;4.705;5.090;5.573;5.343;5.492;6.214;8.863;12.363;8.788;5.360;3.721;2.883;1.428;91;121.953
5/04/2022;LÍNEA 2;117;775;980;1.053;822;937;1.013;1.054;1.200;1.000;1.126;1.360;1.843;2.376;1.884;1.232;996;498;208;7;20.481
5/04/2022;LÍNEA A;14.584;46.747;60.773;51.621;31.841;27.923;23.683;24.960;29.337;28.298;32.681;34.053;57.646;81.235;59.475;32.851;21.510;17.084;8.617;81;685.000
5/04/2022;LÍNEA B;2.799;7.770;9.331;8.868;5.399;4.521;3.921;4.205;5.139;4.462;4.578;5.165;7.657;11.356;7.717;4.369;3.477;2.597;1.155;18;104.504
5/04/2022;LÍNEA H;196;516;417;253;151;104;92;101;108;90;60;58;84;51;45;25;29;9;6;;2.395
5/04/2022;LÍNEA J;1.223;2.584;2.526;2.442;1.770;1.363;931;1.014;1.015;777;610;561;744;783;456;298;122;110;34;;19.363
5/04/2022;LÍNEA K;2.304;3.121;2.861;2.374;1.635;1.370;1.092;1.096;1.410;1.060;811;886;1.112;1.121;821;589;575;277;120;3;24.638
5/04/2022;LÍNEA L;;;;;;80;73;116;68;111;145;99;97;156;;;;;;;945
5/04/2022;LÍNEA M;288;785;899;602;305;234;190;249;278;235;231;285;454;633;663;597;335;234;159;64;7.720
5/04/2022;LÍNEA O;208;1.314;1.437;1.785;970;1.100;751;989;1.043;906;915;998;1.355;1.623;1.373;1.037;777;850;240;21;19.692
5/04/2022;LÍNEA P;926;2.541;2.684;1.881;1.055;776;641;811;1.090;740;678;588;810;941;679;427;453;361;100;2;18.184
5/04/2022;LÍNEA T-A;1.171;3.968;4.692;4.775;2.915;2.379;2.222;2.417;3.114;2.436;2.618;2.942;4.223;5.329;4.748;3.612;2.469;1.894;1.126;92;59.142
6/04/2022;LÍNEA 1;2.752;9.088;11.333;10.859;6.638;5.743;4.532;5.149;5.690;5.500;5.891;6.508;9.109;11.160;8.058;4.893;3.444;2.711;1.280;79;120.417
6/04/2022;LÍNEA 2;149;794;1.015;1.052;862;921;932;1.140;1.141;1.018;1.175;1.454;1.770;2.263;1.798;1.217;924;560;218;1;20.404
6/04/2022;LÍNEA A;15.312;47.256;60.853;52.366;30.818;27.552;23.970;25.018;29.884;28.252;33.906;37.078;56.931;78.135;56.589;31.876;20.699;16.313;8.244;50;681.102
6/04/2022;LÍNEA B;2.932;8.392;9.855;8.701;5.500;5.175;4.119;4.234;5.018;4.559;4.660;6.163;8.212;10.689;8.012;4.493;3.440;2.584;1.097;18;107.853
6/04/2022;LÍNEA H;205;495;411;252;176;107;93;88;124;70;57;56;70;51;30;28;28;3;4;;2.348
6/04/2022;LÍNEA J;1.325;2.626;2.493;2.191;1.300;950;718;807;833;681;578;12;554;619;478;325;209;1;2;;16.702
6/04/2022;LÍNEA K;2.439;3.105;2.987;2.373;1.692;1.344;1.097;1.159;1.456;1.019;824;960;1.091;1.017;765;520;500;196;77;2;24.623
6/04/2022;LÍNEA L;;;;;;113;135;106;96;126;103;162;98;125;;;;;;;1.064
6/04/2022;LÍNEA M;332;875;855;618;407;330;291;344;483;365;409;577;729;1.213;1.363;1.041;636;289;254;70;11.481
6/04/2022;LÍNEA O;203;1.203;1.483;1.718;996;1.181;881;993;1.007;1.074;549;390;665;831;744;420;524;388;247;14;15.511
6/04/2022;LÍNEA P;1.040;2.632;2.729;1.948;1.148;794;686;769;921;676;673;631;697;905;554;456;502;170;74;1;18.006
6/04/2022;LÍNEA T-A;1.224;4.367;4.728;4.819;2.855;2.452;2.160;2.380;3.145;2.545;2.694;3.131;3.971;5.059;4.737;3.355;2.374;1.864;1.062;31;58.953
7/04/2022;LÍNEA 1;2.839;9.264;11.263;10.802;6.735;6.085;4.728;4.988;5.558;5.575;5.672;6.040;8.855;11.504;9.103;5.725;3.792;3.006;1.541;44;123.119
7/04/2022;LÍNEA 2;137;771;958;1.067;840;872;952;1.152;1.199;979;1.100;1.212;1.733;2.109;1.975;1.306;860;562;183;2;19.969
7/04/2022;LÍNEA A;14.794;47.449;61.588;50.784;31.324;27.554;23.669;25.461;29.377;29.252;33.303;35.604;57.238;80.640;59.123;34.040;21.413;16.971;9.074;44;688.702
7/04/2022;LÍNEA B;2.967;8.017;9.368;8.532;5.951;5.143;4.027;4.083;5.145;4.830;5.446;5.703;7.683;11.012;8.196;5.248;3.479;2.537;1.219;12;108.598
7/04/2022;LÍNEA H;215;501;421;239;163;115;170;149;123;75;60;60;79;79;47;36;31;12;5;;2.580
7/04/2022;LÍNEA J;1.279;2.545;2.421;2.141;1.288;944;799;811;898;731;571;489;653;669;448;315;240;125;48;;17.415
7/04/2022;LÍNEA K;2.481;3.023;2.912;2.491;1.647;1.366;1.098;1.151;1.494;1.016;800;1.018;1.113;1.108;691;500;499;258;104;;24.770
7/04/2022;LÍNEA L;;;;;18;195;60;78;86;85;133;159;106;173;;;;;;;1.093
7/04/2022;LÍNEA M;322;868;865;598;360;314;329;361;367;300;319;472;620;960;953;822;438;223;229;43;9.763
7/04/2022;LÍNEA O;203;1.286;1.490;1.863;935;1.123;745;788;789;406;312;370;484;854;728;802;637;639;266;19;14.739
7/04/2022;LÍNEA P;1.031;2.580;2.596;1.915;1.031;828;642;763;935;732;663;616;742;924;534;449;414;267;86;;17.748
7/04/2022;LÍNEA T-A;1.205;4.092;4.637;4.870;2.910;2.535;2.241;2.832;2.950;2.772;2.650;3.016;4.042;5.129;4.813;3.661;2.157;1.215;1.007;58;58.792
8/04/2022;LÍNEA 1;2.803;8.141;11.040;10.142;6.619;5.658;4.746;4.901;5.327;5.383;5.898;6.551;8.496;10.723;8.486;5.522;3.573;2.987;1.881;101;118.978
8/04/2022;LÍNEA 2;150;716;980;973;849;919;927;1.113;1.105;1.004;1.174;1.396;1.757;2.115;1.940;1.278;837;613;247;10;20.103
8/04/2022;LÍNEA A;15.362;44.420;59.021;49.187;31.428;27.804;24.479;25.403;29.668;28.703;35.134;39.373;57.246;73.511;56.083;34.130;21.443;18.033;10.841;120;681.389
8/04/2022;LÍNEA B;2.996;7.775;9.058;8.151;5.171;4.509;3.958;4.592;5.080;4.577;4.827;5.593;7.394;9.598;7.346;4.240;3.057;2.184;1.183;18;101.307
8/04/2022;LÍNEA H;203;472;448;245;155;134;101;97;106;82;62;66;70;70;37;43;22;15;9;2;2.439
8/04/2022;LÍNEA J;1.326;2.459;2.352;2.053;1.270;894;766;797;849;667;563;572;709;680;551;344;282;150;73;2;17.359
8/04/2022;LÍNEA K;2.439;2.670;2.864;2.533;1.661;1.346;1.210;1.198;1.371;1.042;946;971;1.075;981;798;618;546;324;133;1;24.727
8/04/2022;LÍNEA L;;;;;;115;96;127;140;101;142;132;128;187;;;;;;;1.168
8/04/2022;LÍNEA M;323;783;836;618;375;306;268;268;357;317;341;448;635;939;969;811;259;345;251;80;9.529
8/04/2022;LÍNEA O;220;1.206;1.456;1.760;890;1.010;766;966;952;965;877;924;1.279;1.530;1.227;829;643;725;387;34;18.646
8/04/2022;LÍNEA P;1.076;2.436;2.572;1.861;1.116;762;691;683;933;623;575;740;777;772;563;407;485;273;150;1;17.496
8/04/2022;LÍNEA T-A;1.167;3.661;4.531;4.317;2.821;2.441;2.127;2.382;2.621;2.521;2.626;3.028;3.846;4.812;4.597;3.566;1.170;1.908;1.262;90;55.494
9/04/2022;LÍNEA 1;2.232;5.077;4.506;7.426;5.127;4.452;4.098;4.635;6.437;6.445;6.710;5.974;5.483;4.901;4.462;3.756;2.823;2.618;1.552;102;88.816
9/04/2022;LÍNEA 2;123;595;833;654;657;673;770;948;1.316;1.318;1.266;1.129;1.221;1.127;1.055;851;498;455;205;4;15.698
