Día;Línea de Servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00:00 a/ m/;5:00:00 a/ m/;6:00:00 a/ m/;7:00:00 a/ m/;8:00:00 a/ m/;9:00:00 a/ m/;10:00:00 a/ m/;11:00:00 a/ m/;12:00:00 p/ m/;1:00:00 p/ m/;2:00:00 p/ m/;3:00:00 p/ m/;4:00:00 p/ m/;5:00:00 p/ m/;6:00:00 p/ m/;7:00:00 p/ m/;8:00:00 p/ m/;9:00:00 p/ m/;10:00:00 p/ m/;11:00:00 p/ m/;Total general (Número de pasajeros)
4/01/2024;LÍNEA A;11.200;27.694;40.270;34.377;23.166;21.419;21.155;21.809;22.146;22.658;27.418;29.483;44.566;57.868;43.169;27.432;19.238;15.330;9.335;86,00;519.819
4/01/2024;LÍNEA B;2.051;4.504;5.677;5.206;3.822;3.698;3.648;3.800;3.741;3.802;4.370;4.467;5.725;7.797;5.473;3.802;2.507;1.771;1.100;14,00;76.975
4/01/2024;LÍNEA H;169,00;300,00;278,00;203,00;152;125;104;107;94;81;58;66;88;53;36;31,00;39,00;12,00;8,00;;2.004
4/01/2024;LÍNEA J;839;1.652;1.749;1.432;1.017;832;751;735;752;560;528;529;569;569;466;398;305;168;54;;13.905
4/01/2024;LÍNEA K;1.710;2.474;2.382;1.891;1.481;1.237;1.125;1.155;1.245;1.095;989;1.095;1.245;1.351;907;683;583;298;106;1;23.053
4/01/2024;LÍNEA L;;;;;;380;409;658;525;472;498;538;496;521;2;;;;;;4.499
4/01/2024;LÍNEA M;256;594;627;457;318;240;251;270;307;287;300;449;556;717;837;463;357;287;246;53;7.872
4/01/2024;LÍNEA O;193;631;932;883;492;426;415;435;415;393;396;563;782;849;666;551;393;453;179;5,00;10.052
4/01/2024;LÍNEA P;919;1.952;2.148;1.651;938;747;740;650;740;592;630;604;766;737;639;464;453;218;111;;15.699
4/01/2024;LÍNEA T-A;921;2.223;3.080;2.633;1.835;1.658;1.712;1.736;1.863;1.844;2.135;2.249;3.011;3.778;3.252;1.896;1.678;1.224;951;41,00;39.720
5/01/2024;LÍNEA 1;1.988;4.957;7.022;6.288;4.521;4.230;3.715;3.731;3.647;3.669;4.405;4.747;6.132;7.024;5.628;4.206;2.926;2.584;1.709;77;83.206
5/01/2024;LÍNEA 2;135;520;775;805;716;778;843;857;931;986;1.095;1.308;703;1.694;1.443;953;619;419;192;7;15.779
5/01/2024;LÍNEA A;11.285;27.741;39.832;34.292;23.200;21.866;21.277;22.169;23.210;23.669;29.763;33.122;46.301;53.883;41.774;29.874;20.081;17.715;11.283;116,00;532.453
5/01/2024;LÍNEA B;2.044;4.526;5.736;5.000;3.781;3.988;3.930;3.866;3.822;4.184;4.585;5.036;6.029;7.401;5.884;3.892;2.924;1.944;1.102;15,00;79.689
5/01/2024;LÍNEA H;171,00;331,00;280,00;250,00;154;112;108;112;108;65;75;74;53;68;57;43,00;43,00;22,00;5,00;;2.131
5/01/2024;LÍNEA J;866;1.676;1.748;1.479;1.067;817;751;772;707;599;650;638;637;615;546;393;393;152;70;2;14.578
5/01/2024;LÍNEA K;1.759;2.490;2.425;2.042;1.564;1.292;1.163;1.214;1.368;1.158;1.112;1.160;1.289;1.288;1.085;821;645;325;150;;24.350
5/01/2024;LÍNEA L;;;;;;300;456;706;527;558;526;507;532;486;5;;;;;;4.603
5/01/2024;LÍNEA M;247;598;661;453;354;265;295;226;309;304;303;480;346;516;851;691;404;342;320;52;8.017
5/01/2024;LÍNEA O;217;693;955;848;575;438;429;416;459;391;508;571;659;821;655;543;436;443;187,00;18,00;10.262
5/01/2024;LÍNEA P;909;1.997;2.188;1.627;1.007;747;739;700;690;609;630;667;737;725;629;611;471;280;106;3;16.072
5/01/2024;LÍNEA T-A;903;2.244;3.092;2.742;2.006;1.758;1.850;1.839;1.887;1.961;2.394;2.585;1.438;3.240;3.268;2.480;1.703;1.401;1.161;66;40.018
6/01/2024;LÍNEA 1;1.622;3.487;4.411;4.757;3.763;3.641;3.498;3.907;4.312;4.712;3.534;3.618;3.802;3.767;4.058;3.577;2.812;2.296;1.704;82;67.360
6/01/2024;LÍNEA 2;110;384;494;597;525;644;715;833;1.085;1.024;843;971;810;907;829;710;518;374;186;7;12.566
6/01/2024;LÍNEA A;9.683;20.266;24.509;24.362;19.919;18.828;19.880;23.506;31.341;33.190;31.175;29.172;28.033;27.467;29.172;25.277;19.729;18.312;11.111;170;445.102
6/01/2024;LÍNEA B;1.780;3.089;3.684;3.887;3.307;3.436;3.622;4.123;4.842;4.875;5.031;4.599;4.877;4.759;4.714;3.907;3.112;2.192;1.236;13,00;71.085
6/01/2024;LÍNEA H;137,00;230,00;223,00;198,00;140;109;108;94;94;87;92;93;62;94;106,00;83,00;42,00;33,00;7,00;;2.032
6/01/2024;LÍNEA J;675;1.200;1.270;1.255;973;781;761;791;811;778;716;609;261;660;800;617;481;201;150;;13.790
6/01/2024;LÍNEA K;1.334;1.993;2.055;1.728;1.361;1.214;1.139;1.187;1.329;1.189;1.261;1.418;1.614;1.433;1.573;1.271;806;516;170;4;24.595
6/01/2024;LÍNEA L;;;;;;398;513;702;645;683;628;702;716;646;17;;;;;;5.650
6/01/2024;LÍNEA M;193;436;480;392;334;241;279;339;460;500;448;478;489;508;567;481;422;320;318;52;7.737
6/01/2024;LÍNEA O;176;547;649;671;490;427;420;491;571;475;512;463;482;505;461;445;327;333;157;8,00;8.610
6/01/2024;LÍNEA P;675;1.380;1.382;1.297;948;672;676;729;796;656;666;695;690;689;795;841;615;344;175;1;14.722
6/01/2024;LÍNEA T-A;759;1.745;2.182;2.081;1.780;1.715;1.775;1.930;2.418;2.661;2.539;2.405;2.514;2.479;2.616;2.194;1.745;1.510;1.145;81,00;38.274
7/01/2024;LÍNEA 1;416;1.386;1.693;1.738;1.796;2.136;2.329;2.186;2.227;2.317;2.450;2.302;2.451;2.688;3.173;2.675;2.534;2.310;346;;39.153
7/01/2024;LÍNEA 2;7;210;190;250;199;275;468;337;414;468;390;322;415;451;437;419;294;184;17;;5.747
7/01/2024;LÍNEA A;3.331;9.626;11.106;10.802;11.144;12.711;13.761;13.888;14.514;15.275;16.629;16.103;18.017;20.562;22.158;18.814;18.505;15.755;1.849;;264.550
7/01/2024;LÍNEA B;614;1.439;1.735;1.725;2.138;2.481;2.798;3.043;2.901;3.185;3.449;3.305;3.453;4.077;4.516;3.393;2.614;1.918;198;;48.982
7/01/2024;LÍNEA H;;;;;;107;88;88;71;56;64;63;62;94;123;83,00;48,00;23,00;2,00;;972
7/01/2024;LÍNEA J;;;;;64;875;723;612;622;589;637;555;699;723;814;658;426;292;10;;8.299
7/01/2024;LÍNEA K;;;;;625;1.152;1.152;1.059;1.101;1.226;1.211;1.357;1.611;1.789;1.484;1.239;756;368;44;;16.174
7/01/2024;LÍNEA L;;;;;164;513;671;978;841;817;742;830;807;724;4;;;;;;7.091
7/01/2024;LÍNEA M;;;;1;12;257;235;262;296;224;324;361;355;377;496;446;370;336;127;;4.479
7/01/2024;LÍNEA O;18;316;278;247;241;294;367;314;277;295;333;319;350;412;358;358;335;264;59;;5.435
7/01/2024;LÍNEA P;;;;;72;781;749;601;688;623;555;624;719;682;990;751;511;294;15;;8.655
7/01/2024;LÍNEA T-A;170;695;794;814;867;1.172;1.394;1.390;1.425;1.594;1.567;1.505;1.817;1.789;2.036;1.672;1.604;1.275;344;;23.924
8/01/2024;LÍNEA 1;460;1.505;1.600;1.547;1.307;1.542;1.885;1.889;1.795;2.107;2.253;2.249;2.490;2.616;2.973;2.456;2.190;1.879;269;;35.012
8/01/2024;LÍNEA 2;8;187;205;175;148;269;283;307;291;277;320;314;348;381;455;391;263;189;20;;4.831
8/01/2024;LÍNEA A;3.476;9.788;10.588;9.849;8.319;9.381;11.237;12.066;12.714;13.286;15.900;16.108;18.141;20.084;19.874;17.210;15.940;12.759;1.053;;237.773
8/01/2024;LÍNEA B;638;1.451;1.615;1.555;1.621;1.781;2.458;2.559;2.434;2.623;2.902;2.989;3.231;3.434;3.471;2.901;2.286;1.554;162;;41.665
8/01/2024;LÍNEA H;;;;;;96;73;87;66;64;70;63;79;56;72,00;68,00;46,00;22,00;6,00;;868
8/01/2024;LÍNEA J;;;;;48;725;583;531;523;521;524;529;677;685;785;544;354;215;5;;7.249
8/01/2024;LÍNEA K;;;;;424;818;908;1.053;975;1.035;929;1.058;1.429;1.514;1.275;881;666;298;11;;13.274
8/01/2024;LÍNEA L;;;;;85;350;543;711;634;515;466;648;729;566;2;;;;;;5.249
8/01/2024;LÍNEA M;;;;;7;231;212;219;217;284;312;328;378;421;465;370;384;270;125;;4.223
8/01/2024;LÍNEA O;23;324;269;225;212;206;319;289;252;305;351;316;397;328;396;363;387;283;32;;5.277
8/01/2024;LÍNEA P;;;;;15;565;504;483;553;483;559;631;661;665;682;695;489;265;16;;7.266
8/01/2024;LÍNEA T-A;149;691;792;726;600;959;1.109;1.110;1.259;1.301;1.528;1.484;1.572;1.896;1.913;1.576;1.488;1.237;336;;21.726
9/01/2024;LÍNEA 1;2.469;5.987;8.393;7.319;4.988;4.473;4.094;3.818;3.919;3.717;4.664;4.807;6.622;8.239;5.923;3.895;2.605;2.118;1.229;31,00;89.310
9/01/2024;LÍNEA 2;131;649;930;939;833;933;950;1.009;1.028;963;1.091;1.378;1.725;1.965;1.499;978;651;323;135;3,00;18.113
9/01/2024;LÍNEA A;13.626,00;34.110,00;47.886,00;40.562,00;26.789;23.904;22.552;22.652;24.669;24.294;29.966;32.122;48.983;67.723;47.674;27.529;18.916;13.821;7.961;58,00;575.797
9/01/2024;LÍNEA B;2.455,00;5.719,00;6.724,00;6.026,00;4.145;3.859;3.629;3.559;4.067;3.814;4.159;4.687;5.868;8.199;5.625;3.389;2.282;1.756;947;13,00;80.922
9/01/2024;LÍNEA H;215,00;436,00;351,00;229,00;163;92;132;99;96;76;70;55;65;55;46,00;47,00;30,00;19,00;3,00;;2.279
9/01/2024;LÍNEA J;1.158;2.036;2.044;1.652;1.121;904;773;726;741;570;575;506;608;544;381;270;265;125;34;;15.033
9/01/2024;LÍNEA K;2.191;2.671;2.528;2.105;1.518;1.311;1.170;1.096;1.155;874;716;701;812;791;550;515;500;279;117;1,00;21.601
9/01/2024;LÍNEA M;295;715;715;517;360;293;287;292;345;298;324;447;628;842;1.031;645;437;291;286;39,00;9.087
9/01/2024;LÍNEA O;239,00;803,00;1.096,00;1.006,00;627;489;448;415;527;459;457;605;780;1.009;761;535;408;420;158;10,00;11.252
9/01/2024;LÍNEA P;1.175,00;2.451,00;2.588,00;1.755,00;1.011;861;745;700;763;565;524;582;665;637;505;415;411;196;94;1,00;16.644
9/01/2024;LÍNEA T-A;1.125;2.698;3.488;3.013;2.212;1.817;1.817;1.868;2.108;1.941;2.255;2.391;3.316;4.363;3.803;2.490;1.650;1.232;933;40,00;44.560
10/01/2024;LÍNEA 1;2.428,00;6.180,00;8.364,00;7.593,00;5.109;4.393;3.939;3.674;3.969;3.866;4.496;4.654;6.541;8.644;6.210;3.963;2.657;2.206;1.234;35,00;90.155
10/01/2024;LÍNEA 2;153;695;916;917;812;885;833;974;986;967;1.147;1.352;1.710;2.009;1.573;1.034;684;404;167;;18.218
10/01/2024;LÍNEA A;13.643;34.658;48.572;40.840;26.886;23.783;22.228;22.135;23.865;23.963;29.538;31.360;49.459;68.782;47.632;27.145;17.679;14.189;8.188;52,00;574.597
10/01/2024;LÍNEA B;2.615,00;5.617,00;6.848,00;6.061,00;4.279;3.805;3.694;3.601;3.858;3.797;4.088;4.413;6.060;8.393;5.840;3.575;2.443;1.697;922;4,00;81.610
10/01/2024;LÍNEA H;207,00;453,00;362,00;243,00;159;117;124;73;100;52;62;59;52;62;36;19;31;10;7;;2.228
10/01/2024;LÍNEA J;1.123,00;2.121,00;2.109,00;1.639,00;1.165;821;712;685;797;635;571;516;605;581;460,00;323,00;286,00;118,00;43,00;2,00;15.312
10/01/2024;LÍNEA K;2.250;2.795;2.550;2.114;1.600;1.354;1.108;1.093;1.297;1.009;786;898;1.075;1.035;682;536;576;280;93;;23.131
10/01/2024;LÍNEA L;;;;;4;210;318;269;349;279;258;330;302;316;;;;;;;2.635
10/01/2024;LÍNEA M;313;688;758;526;361;267;275;316;327;299;344;435;587;879;993;751;388;302;273;39,00;9.121
10/01/2024;LÍNEA O;210,00;848,00;1.126,00;997,00;574,00;521;405;438;414;447;489;517;820;994;800;526;408;427;158;10,00;11.129
10/01/2024;LÍNEA P;1.180,00;2.601,00;2.534,00;1.823,00;1.073;857;722;699;819;586;579;557;629;670;548;409;398;205;118,00;;17.007
10/01/2024;LÍNEA T-A;1.123;2.727;3.616;3.130;2.262;1.894;1.848;1.908;2.028;1.970;2.186;2.446;3.318;4.416;3.951;2.522;1.723;1.377;989;40,00;45.474
11/01/2024;LÍNEA 1;2.406,00;6.317,00;8.184,00;7.252,00;5.248;4.579;3.950;3.869;3.941;3.854;4.401;4.941;6.588;8.643;6.313;4.031;2.709;2.184;1.291;39,00;90.740
11/01/2024;LÍNEA 2;162;705;888;923;729;862;911;935;941;888;1.147;1.248;1.756;1.986;1.510;1.012;621;371;174;4;17.773
11/01/2024;LÍNEA A;13.646;35.355;48.858;40.501;25.664;23.271;21.508;21.824;23.816;23.684;29.278;31.574;49.660;67.661;48.620;27.899;17.823;14.234;8.086;52;573.014
11/01/2024;LÍNEA B;2.506;5.842;6.939;6.012;4.266;3.616;3.388;3.338;3.811;3.655;3.960;4.571;5.981;8.604;5.662;3.668;2.577;1.736;1.056;9,00;81.197
11/01/2024;LÍNEA H;219;478;347;238;159;106;118;103;78;98;76;74;59;59;53;25;34;21;10;1;2.356
