Día;Línea de Servicio;Hora de operación;;;;;;;;;;;;;;;;;;;;
;;4:00:00 a/ m/;5:00:00 a/ m/;6:00:00 a/ m/;7:00:00 a/ m/;8:00:00 a/ m/;9:00:00 a/ m/;10:00:00 a/ m/;11:00:00 a/ m/;12:00:00 p/ m/;1:00:00 p/ m/;2:00:00 p/ m/;3:00:00 p/ m/;4:00:00 p/ m/;5:00:00 p/ m/;6:00:00 p/ m/;7:00:00 p/ m/;8:00:00 p/ m/;9:00:00 p/ m/;10:00:00 p/ m/;11:00:00 p/ m/;Total general (Número de pasajeros)
14/03/2024;LÍNEA 2;214;926;1.100;1.153;896;967;963;1.065;1.160;1.059;1.139;1.370;1.897;2.058;1.963;1.217;1.049;544;239;2;20.981
14/03/2024;LÍNEA A;16.813;50.667;63.992;53.339;31.825;28.007;23.913;25.295;28.815;28.173;32.562;35.441;59.414;81.920;57.840;32.935;22.258;18.166;9.356;47,00;700.778
14/03/2024;LÍNEA B;3.146;8.299;9.060;8.115;5.237;4.555;3.769;4.297;4.852;4.333;4.549;5.163;7.570;10.930;7.439;4.435;3.697;2.679;1.506;10;103.641
14/03/2024;LÍNEA H;221;611;487;294;161;135;102;156;122;65;62;53;74;69;52;30;34;20;1;;2.749
14/03/2024;LÍNEA J;1.527;2.527;2.326;2.119;1.385;886;725;758;815;619;507;462;686;635;476;284;277;141;43;7;17.205
14/03/2024;LÍNEA K;2.407;2.846;2.695;2.215;1.686;1.320;1.123;1.148;1.378;896;755;737;1.085;1.011;780;574;510;282;89;;23.537
14/03/2024;LÍNEA L;;;;;;152;104;126;132;127;136;98;139;146;;;;;;;1.160
14/03/2024;LÍNEA M;401;998;937;652;403;295;313;336;421;352;362;496;740;1.002;1.050;977;547;387;330;41;11.040
14/03/2024;LÍNEA O;295;1.716;1.703;2.103;1.075;1.303;798;1.054;1.042;1.033;1.020;1.136;1.522;1.897;1.553;1.199;911;1.008;309;17;22.694
14/03/2024;LÍNEA P;1.480;3.518;3.302;2.334;1.288;955;753;1.316;1.362;790;599;669;900;1.348;685;480;597;549;114;2;23.041
14/03/2024;LÍNEA T-A;1.475;4.649;5.065;4.964;3.084;2.612;2.360;2.740;3.268;2.829;2.772;3.282;4.416;5.529;5.233;3.503;2.493;2.103;1.212;62;63.651
15/03/2024;LÍNEA 1;3.003;8.775;10.358;10.036;6.100;5.367;4.335;4.953;5.140;4.949;5.538;5.926;7.904;8.787;7.026;4.889;3.538;2.965;1.688;87;111.364
15/03/2024;LÍNEA 2;203;941;1.024;1.139;882;890;974;1.091;1.177;1.020;1.207;1.391;1.959;1.927;1.590;1.258;893;632;272;6,00;20.476
15/03/2024;LÍNEA A;16.740,00;48.993,00;59.920,00;52.192,00;31.525,00;28.006;24.044;25.787;29.727;29.159;34.759;43.804;64.304;73.830;55.217;35.789,00;22.929,00;19.591,00;11.464,00;140,00;707.920
15/03/2024;LÍNEA B;3.206;8.155;8.723;7.599;5.168;4.562;3.988;4.295;5.040;4.592;4.701;6.000;7.743;10.326;7.245;4.729;3.627;2.779;1.573;32;104.083
15/03/2024;LÍNEA H;230;645;446;295;171;96;99;152;118;79;77;65;90;78;59;28;35;21;12;1;2.797
15/03/2024;LÍNEA J;1.527;2.504;2.324;2.005;1.383;906;767;811;874;679;616;618;713;656;512;443;349;210;77;;17.974
15/03/2024;LÍNEA K;2.434;2.812;2.472;2.092;1.725;1.336;1.144;1.212;1.423;1.023;862;925;1.177;1.047;825;652;637;365;165;4;24.332
15/03/2024;LÍNEA L;;;;;;139;123;113;159;146;134;182;179;200;;;;;;;1.375
15/03/2024;LÍNEA M;427;969;916;659;387;306;263;331;462;343;347;469;695;1.103;935;916;511;425;352;71;10.887
15/03/2024;LÍNEA O;260;1.598;1.481;2.008;1.058;1.271;852;1.068;977;1.059;897;1.137;1.565;1.775;1.397;1.145;735;860;340;22;21.505
15/03/2024;LÍNEA P;1.461;3.463;3.218;2.229;1.306;997;819;1.290;1.314;783;709;789;1.055;1.333;821;542;712;507;133;3;23.484
15/03/2024;LÍNEA T-A;1.502;4.323;4.703;4.941;3.016;2.788;2.310;2.637;3.245;2.762;2.802;3.409;4.574;5.347;4.672;3.633;2.513;2.203;1.440;120;62.940
16/03/2024;LÍNEA 1;2.143;5.297;6.327;7.441;4.976;4.464;4.212;4.893;6.420;6.726;6.218;5.341;4.966;4.525;4.199;3.397;2.740;2.511;1.386;110;88.292
16/03/2024;LÍNEA 2;140;622;677;858;634;777;895;966;1.416;1.428;1.281;1.274;1.229;1.179;1.063;861;631;470;248;5,00;16.654
16/03/2024;LÍNEA A;12.817,00;29.484,00;35.776,00;35.999,00;25.302;23.509;23.476;28.624;42.717;45.624;41.431;38.361;35.412;33.227;29.819,00;24.119,00;17.866,00;15.628,00;8.603,00;110,00;547.904
16/03/2024;LÍNEA B;2.356;4.808;5.356;5.647;4.105;3.989;4.126;4.485;6.487;6.294;6.004;5.218;4.947;4.527;4.065;3.180;2.654;2.229;3.504;27;84.008
16/03/2024;LÍNEA H;174;415;361;257;158;129;142;154;110;100;120;108;91;67;68;77;73;31;33;2;2.670
16/03/2024;LÍNEA J;1.079;1.794;1.996;1.757;1.229;962;974;866;852;873;711;732;697;608;601;568;493;311;178;1;17.282
16/03/2024;LÍNEA K;2.080;2.601;2.684;2.186;1.617;1.417;1.148;1.353;1.286;1.156;1.110;1.075;1.293;1.191;935;803;734;558;237;3;25.467
16/03/2024;LÍNEA L;;;;;;195;170;278;231;253;215;251,00;272;238;;;;;;;2.103
16/03/2024;LÍNEA M;300;646;689;491;380;327;387;411;522;659;700;690;603;643;681;553;446;416;326;122;9.992
16/03/2024;LÍNEA O;201;813;969;1.477;848;908;758;847;1.179;980;796;803;772;712;609;501;448;444;239;30;14.334
16/03/2024;LÍNEA P;1.058;2.095;1.994;1.760;1.177;880;862;1.046;1.049;862;816;906;842;746;646;582;593;419;262;5;18.600
16/03/2024;LÍNEA T-A;1.127;2.873;3.443;3.856;2.597;2.350;2.451;2.809;3.602;3.834;3.486;3.471;3.475;3.200;2.922;2.478;1.975;1.785;1.358;111;53.203
17/03/2024;LÍNEA 1;521;1.604;1.963;2.156;2.009;2.489;2.632;2.462;2.659;2.869;2.740;2.679;2.823;2.679;2.880;2.449;2.372;1.697;223;;41.906
17/03/2024;LÍNEA 2;8;233;226;290;215;330;495;390;529;605;476;469;489;482;507;477;354;196;25;;6.796
17/03/2024;LÍNEA A;4.013,00;10.734,00;11.966,00;11.393,00;11.122;12.095;13.457;13.414;15.034;16.739;17.734;17.489;19.020;19.934;19.512,00;16.690,00;15.328,00;11.438,00;777,00;;257.889
17/03/2024;LÍNEA B;739;1.644;1.782;1.854;1.840;2.116;2.404;2.692;2.683;2.986;2.973;2.843;2.997;2.947;3.061;2.592;2.286;1.589;141;;42.169
17/03/2024;LÍNEA H;;;;;;141;108;97;110;78;118;80;76;60;75;69;65;21;5;;1.103
17/03/2024;LÍNEA J;;;;;29;848;757;620;746;726;681;703;702;715;743;614;523;219;19;;8.645
17/03/2024;LÍNEA K;;;;;572;1.129;1.101;1.036;1.172;1.021;1.077;1.215;1.240;1.394;1.085;837;706;448;20;;14.053
17/03/2024;LÍNEA L;;;;;99;292;323;398;319;310;408;434;419;485;;;;;;;3.487
17/03/2024;LÍNEA M;;;;;;314;304;336;330;310;398;389;369;443;430;484;440;305;129;;4.981
17/03/2024;LÍNEA O;26;323;290;266;304;290;435;361;339;367;385;401;418;488;488;467;403;293;34;;6.378
17/03/2024;LÍNEA P;;;;;19;731;667;622;659;775;620;744;763;714;695;599;530;330;11;;8.479
17/03/2024;LÍNEA T-A;200;753;965;961;983;1.388;1.506;1.684;1.595;1.701;1.763;1.783;1.784;1.797;2.076;1.767;1.704;1.308;280;;25.998
18/03/2024;LÍNEA 1;3.020;8.637;10.729;9.806;6.029;5.267;4.405;4.876;5.150;5.007;5.347;5.954;8.240;10.518;7.692;4.760;3.301;2.487;1.280;52;112.557
18/03/2024;LÍNEA 2;218;946;1.027;1.093;932;978;1.040;1.162;1.158;1.073;1.178;1.425;2.062;2.241;1.725;1.264;868;503;193;4;21.090
18/03/2024;LÍNEA A;17.003,00;48.666,00;62.696,00;51.880,00;32.467,00;28.102;24.627;25.078;28.648;27.882;32.354;35.648;58.683;81.793;57.654,00;31.634,00;20.684,00;16.373,00;8.448,00;60,00;690.380
18/03/2024;LÍNEA B;3.214;8.036;8.907;7.957;5.188;4.469;4.038;4.112;4.743;4.288;4.363;5.250;7.280;10.585;6.832;3.965;3.053;2.425;1.097;8;99.810
18/03/2024;LÍNEA H;251;622;434;281;178;142;98;123;114;80;94;74;80;82;31;44;20;13;10;;2.771
18/03/2024;LÍNEA J;1.518;2.410;2.433;2.022;1.353;939;780;829;857;651;546;558;635;641;452;299;279;132;37;;17.371
18/03/2024;LÍNEA K;2.425;2.749;2.631;2.083;1.642;1.340;1.117;1.178;1.310;938;681;747;963;927;670;520;588;276;101;;22.886
18/03/2024;LÍNEA M;413;944;909;546;424;316;295;338;410;343;351;442;637;938;1.135;971;494;362;283;27,00;10.578
18/03/2024;LÍNEA O;263;1.540;1.604;1.732;1.004;1.084;729;994;930;1.011;845;1.101;1.326;1.842;1.388;1.111;686;943;292;11;20.436
18/03/2024;LÍNEA P;1.507;3.419;3.181;2.218;1.309;961;746;1.255;1.303;738;691;624;872;1.368;791;455;617;556;112;1,00;22.724
18/03/2024;LÍNEA T-A;1.501;4.111;4.799;4.571;2.958;2.548;2.209;2.711;3.245;2.661;2.727;3.075;4.172;5.360;4.690;3.398;2.371;1.733;1.109;37;59.986
19/03/2024;LÍNEA 1;3.019;9.167;11.097;10.144;6.298;5.407;4.409;5.066;5.198;4.954;5.458;5.786;8.587;10.991;7.957;4.747;3.411;2.746;1.351;40;115.833
19/03/2024;LÍNEA 2;187;955;1.088;1.140;968;1.001;1.047;1.236;1.249;1.160;1.262;1.453;1.972;2.202;1.946;1.244;1.003;565;192;5,00;21.875
19/03/2024;LÍNEA A;16.494;50.689;63.728;53.875;32.721;28.499;24.560;26.453;29.818;29.152;32.808;35.996;61.454;83.319;57.705;32.504;21.601;17.569;8.923;38;707.906
19/03/2024;LÍNEA B;3.143,00;8.298,00;9.181,00;8.294,00;5.319;4.436;3.914;4.414;5.039;4.430;4.636;5.172;7.501;10.672;7.032;4.134,00;3.443,00;2.601,00;1.164,00;19,00;102.842
19/03/2024;LÍNEA H;256;629;448;290;163;109;113;126;122;68;52;64;82;76;42;48;36;10;1;;2.735
19/03/2024;LÍNEA J;1.492;2.595;2.383;2.066;1.341;903;702;833;841;624;522;531;663;653;454;314;275;134;43;;17.369
19/03/2024;LÍNEA K;2.462;2.852;2.576;2.181;1.657;1.220;1.087;1.091;1.369;937;802;879;1.121;1.013;681;488;513;232;85;1;23.247
19/03/2024;LÍNEA L;;;;;;95;86;116;112;109;94;101;106;103;;;;;;;922
19/03/2024;LÍNEA M;394;1.045;926;625;412;344;325;338;420;331;367;456;687;994;1.137;915;498;429;327;42,00;11.012
19/03/2024;LÍNEA O;293;1.762;1.648;1.999;1.075;1.196;775;1.088;1.039;1.085;891;1.194;1.552;1.933;1.409;1.155;873;1.000;314;14;22.295
19/03/2024;LÍNEA P;1.522;3.566;3.194;2.315;1.304;959;771;1.145;1.382;799;668;646;932;1.312;720;450;597;513;109;2;22.906
19/03/2024;LÍNEA T-A;1.463;4.702;5.062;4.966;3.127;2.733;2.522;2.978;3.290;2.856;2.802;3.292;4.486;5.701;5.295;3.361;2.607;2.116;1.168;42,00;64.569
20/03/2024;LÍNEA 1;3.003;8.919;10.879;10.050;6.307;5.350;4.421;4.957;5.032;5.088;5.302;5.865;8.610;10.197;8.219;5.100;3.541;2.632;1.441;40,00;114.953
20/03/2024;LÍNEA 2;205,00;963,00;1.025,00;1.111,00;930;968;998;1.145;1.240;1.059;1.195;1.484;1.856;2.174;1.723;1.279;1.009;519;214;7,00;21.104
20/03/2024;LÍNEA A;16.533,00;49.832,00;62.846,00;52.737,00;32.620;28.100;24.610;26.208;29.366;28.901;32.639;36.417;59.909;78.646;59.571;33.540;22.206;17.671;9.016;39,00;701.407
20/03/2024;LÍNEA B;3.062,00;8.211,00;9.112,00;8.283,00;5.106;4.408;3.946;4.204;4.881;4.471;4.518;5.238;7.744;10.627;7.228,00;4.130,00;3.458,00;2.803,00;1.325,00;17,00;102.772
20/03/2024;LÍNEA H;250;577;448;303;196;108;94;146;103;92;94;48;87;64;48;41;29;28;3;;2.759
20/03/2024;LÍNEA J;1.438;2.541;2.294;2.074;1.305;930;729;869;827;658;524;590;672;631;453;315;242;140;47;;17.279
20/03/2024;LÍNEA K;2.411;2.761;2.636;2.270;1.697;1.333;993;1.179;1.321;1.018;720;772;1.055;980;702;519;537;270;98;1,00;23.273
20/03/2024;LÍNEA L;;;;;9,00;75;87;125;100;124;110;100;109;118;;;;;;;957
20/03/2024;LÍNEA M;384,00;1.007,00;944;611;387;355;325;314;423;328;334;456;581;1.095;1.124;1.005;515;426;315;55,00;10.984
20/03/2024;LÍNEA O;246;1.644;1.702;2.061;1.055;1.270;890;1.073;1.050;1.139;944;1.138;1.594;1.819;1.571;1.152;822;962;287;11,00;22.430
20/03/2024;LÍNEA P;1.470,00;3.471,00;3.277,00;2.239,00;1.304;1.052;833;1.276;1.275;851;619;686;1.026;1.260;758;530;667;565;146;1,00;23.306
20/03/2024;LÍNEA T-A;1.501;4.506;4.928;4.848;2.993;2.752;2.258;2.756;3.327;2.771;2.899;3.250;4.039;5.493;5.357;3.590;2.563;2.041;1.182;42,00;63.096
21/03/2024;LÍNEA 1;3.099;8.955;10.977;9.831;6.350;5.540;4.521;4.889;5.172;4.846;5.348;6.054;8.269;10.927;7.895;5.148;3.666;2.763;1.506;38,00;115.794
21/03/2024;LÍNEA 2;222,00;952,00;1.064,00;1.072,00;947;924;1.078;1.145;1.196;1.074;1.125;1.452;1.883;2.163;1.831;1.292;944;527;224;2,00;21.117
21/03/2024;LÍNEA A;16.696,00;49.864,00;62.745,00;52.547,00;32.333;28.536;24.516;26.130;29.134;28.950;32.910;36.184;59.853;81.694;59.168;34.896;22.920;18.251;9.530;57,00;706.914
21/03/2024;LÍNEA B;3.159,00;8.219,00;9.131,00;8.020,00;5.300;4.486;4.000;4.221;4.983;4.276;4.493;5.254;7.338;10.806;7.450;4.360,00;3.545,00;2.861,00;1.427,00;9,00;103.338
21/03/2024;LÍNEA H;242;620;446;272;188;116;92;132;101;81;65;59;90;71;42;38;24;16;5;1,00;2.701
21/03/2024;LÍNEA J;1.499;2.492;2.342;1.990;1.308;938;779;804;861;614;507;581;629;631;493;336;276;173;61;;17.314
21/03/2024;LÍNEA K;2.462;2.837;2.643;2.092;1.755;1.381;1.048;1.197;1.379;1.019;795;764;1.039;1.085;759;550;554;278;121;2,00;23.760
21/03/2024;LÍNEA L;;;;;;95;80;101;94;99;156;145;146;173;;;;;;;1.089
21/03/2024;LÍNEA M;378,00;1.002,00;971,00;609,00;402;350;288;353;405;346;373;456;703;944;1.247;860;537;424;326;53,00;11.027
21/03/2024;LÍNEA O;278;1.678;1.658;1.816;1.108;1.166;850;1.045;1.101;1.043;908;1.065;1.391;1.749;1.527;1.085;861;960;313;9,00;21.611
21/03/2024;LÍNEA P;1.493,00;3.527,00;3.232,00;2.224,00;1.329;983;863;1.183;1.284;869;666;769;936;1.304;758;571;698;533;145;2,00;23.369
21/03/2024;LÍNEA T-A;1.459;4.576;5.069;4.834;3.134;2.653;2.431;2.774;3.227;2.845;2.678;3.439;4.364;5.575;5.419;3.554;2.565;2.071;1.281;44;63.992
22/03/2024;LÍNEA 1;3.060;8.528;10.927;9.485;6.160;5.461;4.588;5.101;5.192;5.176;5.698;6.334;8.498;9.352;7.373;4.884;3.464;2.942;1.790;87;114.100
22/03/2024;LÍNEA 2;219;916;1.064;1.192;960;1.051;991;1.186;1.160;1.094;1.307;1.608;2.049;1.969;1.705;1.275;811;601;283;6;21.447
22/03/2024;LÍNEA A;16.698;47.641;61.078;51.661;32.537;27.926;24.687;26.897;29.711;30.316;36.790;42.576;62.209;73.038;53.764;34.316;22.902;19.788;11.871;106,00;706.512
22/03/2024;LÍNEA B;3.098;7.798;8.873;7.777;5.003;4.690;4.006;4.313;4.886;4.567;4.805;5.841;7.366;9.756;6.855;4.380;3.455;2.676;1.567;18;101.730
22/03/2024;LÍNEA H;256;610;452;296;173;143;129;112;108;99;79;70;94;71;81;46;47;16;6;;2.888
22/03/2024;LÍNEA J;1.537;2.463;2.430;1.902;1.393;1.037;784;805;904;723;585;628;683;735;520;390;322;225;60;5;18.131
22/03/2024;LÍNEA K;2.413;2.890;2.660;2.237;1.664;1.402;1.200;1.219;1.459;1.072;947;1.000;1.085;1.175;756;611;627;349;141;6;24.913
22/03/2024;LÍNEA L;;;;;;107;110;135;132;134;150;167;179;227;;;;;;;1.341
22/03/2024;LÍNEA M;378;1.037;971;643;422;344;351;363;397;354;394;515;709;940;1.127;733;504;430;312;87;11.011
22/03/2024;LÍNEA O;285;1.413;1.677;1.992;1.034;1.187;844;982;935;1.038;905;1.136;1.457;1.678;1.189;1.037;817;721;325;32,00;20.684
22/03/2024;LÍNEA P;1.483;3.391;3.069;2.234;1.334;1.115;915;1.177;1.269;822;741;799;1.058;1.215;770;639;698;487;154;3;23.373
22/03/2024;LÍNEA T-A;1.433;4.398;4.943;4.701;3.031;2.835;2.610;2.865;3.248;2.907;2.916;3.586;4.403;5.312;4.695;3.344;2.445;2.015;1.425;88;63.200
23/03/2024;LÍNEA 1;2.176;5.217;6.243;6.901;4.858;4.336;4.100;4.645;6.124;6.093;5.737;4.996;4.587;4.440;3.927;3.160;2.540;2.207;1.240;47;83.574
23/03/2024;LÍNEA 2;142;608;654;775;694;794;908;1.052;1.482;1.345;1.147;1.122;1.103;1.137;1.058;791;555;406;181;;15.954
23/03/2024;LÍNEA A;12.857,00;28.369,00;34.476,00;34.815,00;24.998;22.839;23.212;28.393;41.336;43.588;39.156;35.824;32.836;31.217;27.859,00;22.050,00;17.152,00;14.619,00;8.181,00;61,00;523.838
23/03/2024;LÍNEA B;2.341;4.627;5.038;5.327;4.222;3.769;3.921;4.325;5.944;5.881;5.586;4.944;4.697;4.527;3.980;3.062;2.375;1.993;1.119;14;77.692
23/03/2024;LÍNEA H;180;392;344;254;155;133;144;136;121;104;78;88;97;76;73;58;52;32;13;;2.530
23/03/2024;LÍNEA J;1.064;1.679;1.848;1.698;1.227;1.026;919;877;834;836;758;687;735;627;623;527;446;262;116;1;16.790
23/03/2024;LÍNEA K;2.048;2.644;2.461;2.135;1.547;1.374;1.210;1.337;1.274;1.186;1.060;1.137;1.196;1.204;920;806;707;541;248;1;25.036
23/03/2024;LÍNEA L;;;;;;186;185;238;284;228;263;220;237;282;2;;;;;;2.125
23/03/2024;LÍNEA M;286;641;686;512;398;310;329;384;534;678;685;624;597;518;578;430;466;373;335;47;9.411
23/03/2024;LÍNEA O;194;771;959;1.256;717;795;640;814;921;893;772;644;591;620;571;513;383;401;191;10;12.656
23/03/2024;LÍNEA P;1.045;2.024;1.975;1.816;1.120;922;817;1.035;941;816;723;816;721;734;659;532;462;309;199;7;17.673
23/03/2024;LÍNEA T-A;1.117;2.708;3.300;3.692;2.525;2.369;2.233;2.629;3.552;3.564;3.373;3.229;3.160;2.937;2.603;2.104;1.863;1.660;1.155;68;49.841
24/03/2024;LÍNEA 1;519;1.632;1.993;2.055;1.828;2.374;2.596;2.050;2.307;2.451;2.640;2.517;2.615;2.542;2.073;1.896;1.949;1.541;175;;37.753
24/03/2024;LÍNEA 2;12;200;219;287;217;301;536;399;502;513;444;435;462;421;321;391;272;173;20;;6.125
24/03/2024;LÍNEA A;3.978,00;11.280,00;12.674,00;11.721,00;11.152,00;12.448;13.577;13.048;14.223;15.587;17.591;17.121;18.223;17.819;15.572,00;12.714,00;12.618,00;10.168,00;750,00;;242.264
24/03/2024;LÍNEA B;739;1.717;1.872;1.906;1.848;2.615;2.695;2.596;2.821;2.911;3.068;3.095;3.046;3.027;2.589;2.236;3.124;1.556;163;;43.624
24/03/2024;LÍNEA H;;;;;4;135;105;79;73;92;78;81;80;74;67;49;43;32;1;;993
24/03/2024;LÍNEA J;;;;;36;999;699;657;661;668;573;630;736;584;517;431;375;241;3;;7.810
24/03/2024;LÍNEA K;;;;;655;1.188;1.051;987;1.156;1.019;1.020;1.198;1.611;1.425;843;717;587;338;16;;13.811
24/03/2024;LÍNEA L;;;;;122;262;426;574;565;458;422;473;628;443;;;;;;;4.373
24/03/2024;LÍNEA M;;;;;5;332;266;289;300;321;383;398;450;370;398;357;365;307;111;;4.652
24/03/2024;LÍNEA O;24;364;288;291;269;309;373;340;359;270;333;375;429;433;372;374;382;258;48;;5.891
24/03/2024;LÍNEA P;;;;1;58;757;664;694;611;581;677;734;723;635;518;537;444;355;9;;7.998
24/03/2024;LÍNEA T-A;182;720;1.040;1.021;910;1.348;1.434;1.347;1.464;1.601;1.753;1.757;1.846;1.732;1.649;1.461;1.367;1.213;277;;24.122
25/03/2024;LÍNEA 1;686;2.053;2.285;2.047;1.623;1.880;2.030;1.798;2.055;2.214;2.626;2.519;2.710;2.674;2.439;2.020;1.951;1.431;196;;37.237
25/03/2024;LÍNEA 2;18;256;261;257;187;316;293;298;282;315;335;385;387;412;386;422;297;181;21;;5.309
25/03/2024;LÍNEA A;4.887,00;13.765,00;15.135,00;12.055,00;9.689;10.252;11.823;11.803;12.867;13.876;17.563;16.875;18.785;19.019;17.283,00;13.401,00;12.752,00;9.612,00;659,00;;242.101
25/03/2024;LÍNEA B;858;2.177;2.308;1.920;1.834;2.188;2.257;2.388;2.472;2.740;3.002;3.036;3.291;3.319;2.803;2.113;1.608;1.311;146;;41.771
25/03/2024;LÍNEA H;;;;;2;96;87;73;75;44;46;86;81;73;52;57;48;15;;;835
25/03/2024;LÍNEA J;;;;;36;780;617;548;577;461;520;516;715;577;420;399;337;127;5;;6.635
25/03/2024;LÍNEA K;;;;;558;869;894;941;973;925;889;1.033;1.454;1.144;877;564;568;271;24;;11.984
25/03/2024;LÍNEA L;;;;;141;306;614;679;619;458;462;596;747;359;;;;;;;4.981
25/03/2024;LÍNEA M;;;;1;;237;263;212;244;279;349;387;407;371;432;318;305;249;112;;4.166
25/03/2024;LÍNEA O;37;409;380;347;281;260;356;330;297;286;358;395;415;408;405;411;353;252;33;;6.013
25/03/2024;LÍNEA P;;;;;40;653;553;604;548;485;524;555;629;532;450;378;411;226;8;;6.596
25/03/2024;LÍNEA T-A;247;909;1.073;912;791;1.024;1.295;1.175;1.295;1.340;1.762;1.655;1.833;1.776;1.728;1.361;1.322;1.079;225;;22.802
26/03/2024;LÍNEA 1;2.291;5.540;7.701;6.681;4.997;4.538;4.067;3.948;3.921;3.795;4.579;4.620;5.922;7.299;5.513;3.646;2.311;1.963;1.106;39;84.477
26/03/2024;LÍNEA 2;148;574;861;855;773;940;980;1.087;1.008;970;1.175;1.289;1.497;1.664;1.466,00;969,00;632,00;360;145;1;17.394
26/03/2024;LÍNEA A;12.660,00;30.366,00;43.187,00;35.881,00;25.839;23.795;22.527;22.661;23.249;23.525;29.955;30.773;43.620;56.602;41.503;25.142,00;16.223,00;12.821,00;7.235,00;42,00;527.606
26/03/2024;LÍNEA B;2.340;5.003;6.105;5.537;4.190;3.924;3.863;3.597;3.963;3.723;4.055;4.599;5.626;7.450;5.109;3.195;2.408;1.823;951;10;77.471
26/03/2024;LÍNEA H;177;318;367;235;139;119;101;102;94;73;63;85;76;55;50;36;31;12;4;;2.137
26/03/2024;LÍNEA J;1.078;1.722;1.850;1.643;1.160;909;823;763;758;630;520;516;602;489;438;323;240;120;52;;14.636
26/03/2024;LÍNEA K;2.028;2.258;2.325;2.055;1.625;935;1.208;1.010;1.191;971;885;929;933;945;588;499;511;238;97;;21.231
26/03/2024;LÍNEA L;;;;;;193;192;267;299;306;253;297;292;254;;;;;;;2.353
26/03/2024;LÍNEA M;303;592;677;517;339;274;288;320;349;323;346;457;488;741;854;692;408;292;224;59;8.543
26/03/2024;LÍNEA O;213;673;806;804;528;358;311;370;343;296;378;472;534;673;729;523;405;409;149;14,00;8.988
26/03/2024;LÍNEA P;1.077;2.167;2.232;1.798;1.020;909;776;676;789;601;571;590;658;626;430;386;366;232;103;1,00;16.008
26/03/2024;LÍNEA T-A;1.034;2.359;3.341;2.882;2.136;1.944;1.992;2.039;2.074;2.047;2.295;2.484;3.048;3.871;3.242;2.354;1.672;1.298;962;35,00;43.109
27/03/2024;LÍNEA 1;2.154,00;5.204,00;7.162,00;6.404,00;4.723;4.294;3.901;3.933;4.017;4.081;4.718;5.144;5.842;6.550;4.972;3.770;2.747;2.188;1.160;49,00;83.013
27/03/2024;LÍNEA 2;152,00;601,00;749,00;818,00;755;915;911;1.007;1.002;1.025;1.199;1.421;1.485;1.554;1.437;1.007;723;449;203;7,00;17.420
27/03/2024;LÍNEA A;11.819,00;28.616,00;39.613,00;33.569,00;23.858;22.451;21.507;21.672;23.665;25.079;31.128;33.970;43.326;50.946;30.655,00;26.740,00;19.247,00;14.765,00;7.841,00;71,00;510.538
27/03/2024;LÍNEA B;2.258;4.560;5.692;5.247;3.789;3.764;3.784;3.595;3.724;4.062;4.678;4.823;5.607;6.515;5.001;3.380;3.913;2.227;1.219;14,00;77.852
27/03/2024;LÍNEA H;143;302;330;229;143;114;120;132;82;104;79;93;86;83;64;35;27;28;1;;2.195
27/03/2024;LÍNEA J;994;1.596;1.770;1.560;1.196;878;840;791;777;638;596;693;645;598;529;382;317;179;73;;15.052
27/03/2024;LÍNEA K;1.904,00;2.233,00;2.313,00;2.021,00;1.612;1.298;1.140;1.177;1.318;1.108;1.088;1.131;1.287;1.172;394;439;526;386;126;3,00;22.676
27/03/2024;LÍNEA L;;;;;;310;362;508;372;327;340;418;350;293;;;;;;;3.280
27/03/2024;LÍNEA M;272;523;641;509;339;309;318;327;306;302;435;465;575;726;717;702;460;338;263;67,00;8.594
27/03/2024;LÍNEA O;205,00;655,00;943,00;844,00;608,00;489,00;416,00;435,00;419,00;444,00;517,00;566;723;775;575;489;396;396;201;12,00;10.108
27/03/2024;LÍNEA P;1.038;1.996;2.117;1.661;1.078;818;757;725;815;707;712;595;692;653;137;381;391;297;128;;15.698
27/03/2024;LÍNEA T-A;1.002;2.232;3.086;2.846;2.104;1.901;1.987;1.919;2.092;2.049;2.432;2.696;3.132;3.656;2.971;2.533;2.062;1.508;1.023;44;43.275
28/03/2024;LÍNEA 1;538;1.770;1.968;1.878;1.631;2.038;2.156;2.040;2.124;2.111;2.313;2.300;2.375;2.341;2.317;1.861;1.690;1.343;176;;34.970
28/03/2024;LÍNEA 2;18;263;236;248;174;318;310;325;310;327;323;336;346;403;394;404;300,00;226,00;32,00;;5.293
28/03/2024;LÍNEA A;4.066;11.109;12.712;11.130;10.317;10.679;12.661;12.722;13.386;13.127;15.768;15.009;16.576;16.244;14.931;11.774;11.634;8.852;695;;223.392
28/03/2024;LÍNEA B;668;1.647;1.738;1.698;1.665;1.962;2.411;2.354;2.400;2.462;2.919;2.862;3.171;3.295;2.837;2.275;1.575;1.331;175;;39.445
28/03/2024;LÍNEA H;;;;;;113;109;80;72;95;65;82;74;65;39;61;41;37;1;;934
28/03/2024;LÍNEA J;;;;;14;878;698;634;665;586;528;568;611;520;506;462;284;189;3;;7.146
28/03/2024;LÍNEA K;;;;;564;922;1.041;1.030;1.124;1.052;1.070;1.172;1.347;1.401;865;606;515;358;17;;13.084
28/03/2024;LÍNEA L;;;;;108;394;498;762;647;596;561;648;700;628;12;;;;;;5.554
28/03/2024;LÍNEA M;;;;;3;258;260;327;272;304;343;390;302;467;414;268;304;281;93;;4.286
